scene_id,working_scene_title,location,time_period,dramatic_function,evidence_ids,adaptation_decision_ids,status
SC-001,Dawn at the Kaveri mouth,Puhar river-sea harbour,Festival day 1,"Establish maritime city, labour and civic scale","EV-0005;EV-0007;EV-0008;EV-0010;EV-0027;EV-0033","AD-0003;AD-0005;AD-0006;AD-0009",concept
SC-002,The proclamation drum,Puhar civic route,Festival day 1,"Announce festival and its promise of order and abundance","EV-0001;EV-0002;EV-0003;EV-0004;EV-0025;EV-0033","AD-0001;AD-0002;AD-0008;AD-0009",concept
SC-003,Madhavi's silent house,Puhar performance quarter,Festival day 1,"Contrast public celebration with private renunciation and inherited grief","EV-0021;EV-0022;EV-0025;EV-0034","AD-0008;AD-0009;AD-0010;AD-0012",concept
SC-004,The city of abundance,Puhar multiple districts,Festival day 1,"Reveal wealth, religious plurality and people excluded from prosperity before Manimekalai receives the vessel","EV-0003;EV-0004;EV-0005;EV-0028;EV-0029;EV-0030;EV-0031;EV-0033;EV-0048;EV-0051","AD-0001;AD-0009;AD-0012;AD-0021;AD-0024",concept
SC-005,Flowers under the public gaze,Puhar flower garden,Act I,"Reveal Manimekalai's beauty, social visibility and vulnerability to pursuit","EV-0021;EV-0022;EV-0024;EV-0025","AD-0008;AD-0010;AD-0012",concept
SC-006,The vessel that serves,Puhar feeding place,Act II,"Show Manimekalai's transformation through practical service and the prince's inability to accept it","EV-0022;EV-0023;EV-0032;EV-0033;EV-0049;EV-0050;EV-0054;EV-0067","AD-0009;AD-0010;AD-0011;AD-0013;AD-0021;AD-0022;AD-0023;AD-0024",concept
SC-007,The form of Kayasandihai,Sambapathi temple,Act II,"Make Manimekalai's disguise legible to the audience and credible to both Udayakumaran and Kanchanan","EV-0026;EV-0033","AD-0009;AD-0010",concept
SC-008,Cloth after scarcity,Kanchi,Act III,"Make famine visible through repair, sale, reuse and unequal preservation of clothing, tools and ornament","EV-0028;EV-0029;EV-0031;EV-0032;EV-0033;EV-0051;EV-0059;EV-0065","AD-0009;AD-0012;AD-0013;AD-0021;AD-0027;AD-0028;AD-0030",concept
SC-009,Many paths under one roof,Puhar festival debate hall,Act I,"Establish intellectual plurality and civic rivalry before Manimekalai's formal philosophical journey","EV-0035;EV-0037;EV-0045;EV-0047","AD-0014;AD-0018;AD-0020",concept
SC-010,The unknown sage listens,Vanji teaching quarters,Act III,"Give Manimekalai access to rival schools while revealing that authority is socially read through body and performance","EV-0036;EV-0037;EV-0046","AD-0015;AD-0019;AD-0020",concept
SC-011,When the drum falls silent,Vanji materialist circle,Act III,"Stage the strongest challenge to rebirth and force Manimekalai to distinguish memory from proof","EV-0038;EV-0044;EV-0047","AD-0015;AD-0017;AD-0020",concept
SC-012,Fire on the distant hill,Kanchi instruction court,Act III,"Teach inference and fallacy through an urgent observable problem rather than a catalogue of logical terms","EV-0039;EV-0046","AD-0016;AD-0017",concept
SC-013,The chain of hunger,Kanchi streets and feeding centre,Act III,"Connect dependent causation to crop failure, water, price, storage, illness, grief, access and ethical intervention","EV-0040;EV-0041;EV-0046;EV-0048;EV-0049;EV-0058;EV-0059;EV-0060;EV-0061;EV-0062;EV-0065;EV-0067","AD-0016;AD-0017;AD-0021;AD-0023;AD-0024;AD-0027;AD-0029;AD-0030",concept
SC-014,After all arguments,Kanchi quiet enclosure,Ending,"Complete Manimekalai's movement from hearing doctrines to disciplined practice without declaring that history itself has ended","EV-0040;EV-0041;EV-0043","AD-0010;AD-0011;AD-0016;AD-0017",concept
SC-015,The vessel chooses a custodian,Gomukhi pond on Manipallavam,Act II,"Turn receipt of Amudhasurabhi from magical reward into acceptance of responsibility for unknown lives","EV-0049;EV-0050;EV-0064","AD-0021;AD-0022;AD-0030",concept
SC-016,Aputhiran's last recipient,Aputhiran memory sequence,Act II,"Explore service without attachment when rain and prosperity temporarily remove visible hunger","EV-0006;EV-0053","AD-0021;AD-0022;AD-0028",concept
SC-017,The first handful,Athirai household and street threshold,Act II,"Show private household food becoming public obligation through the first offering","EV-0049;EV-0052;EV-0064","AD-0022;AD-0023;AD-0024;AD-0030",concept
SC-018,Ulaga Aravi learns to serve,Ulaga Aravi public feeding space,Act II,"Transform an initial crowd into a network of recipients, volunteers, water carriers, carers and nonhuman feeding","EV-0050;EV-0054;EV-0060;EV-0067","AD-0022;AD-0023;AD-0024;AD-0029",concept
SC-019,Enough,Ulaga Aravi,Act II,"Let Kayasandihai experience satiety and bodily stillness without comedy or spectacle","EV-0055","AD-0021;AD-0024",concept
SC-020,The prison kitchen,Former royal prison,Act II,"Make prison reform visible through opened spaces, water, storage, cooking, lodging and new social roles","EV-0041;EV-0056;EV-0067","AD-0017;AD-0023;AD-0025",concept
SC-021,The room without food,Queen's palace confinement room,Act II,"Mirror public feeding with the queen's deliberate use of starvation as hidden violence","EV-0048;EV-0057","AD-0021;AD-0026;AD-0028",concept
SC-022,Kanchi's closed granary,Kanchi market and storage quarter,Act III,"Show that famine may involve both shortage and blocked access without claiming a documented modern market system","EV-0059;EV-0061;EV-0062;EV-0065","AD-0021;AD-0027;AD-0030",concept
SC-023,The king asks why,Kanchi palace and affected districts,Act III,"Force royal accountability after insufficient relief, water and distribution measures fail","EV-0058;EV-0059;EV-0065","AD-0017;AD-0021;AD-0027;AD-0028",concept
SC-024,Eighteen languages,Kanchi relief centre,Act III,"Make universal access visible through multilingual, disability-aware and human-nonhuman feeding that the city learns to sustain","EV-0049;EV-0060;EV-0067","AD-0023;AD-0024;AD-0029",concept