evidence_id,source_ids,crosswalk_status,source_work,notes
EV-0001,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0002,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0003,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0004,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0005,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0006,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0007,SRC-0005,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0008,SRC-0005,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0009,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0010,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0011,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0012,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0013,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0014,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0015,SRC-0005,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0016,SRC-0006,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0017,SRC-0007,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0018,SRC-0009,REGISTERED_SOURCE,Staples and Blue,Line/page verification remains governed by the source register and evidence record.
EV-0019,SRC-0006,RECORD_LEVEL_CROSSWALK,Project methodology based on archaeological reports,Line/page verification remains governed by the source register and evidence record.
EV-0020,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0021,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0022,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0023,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0024,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0025,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0026,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0027,SRC-0011,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0028,SRC-0011,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0029,SRC-0012,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0030,SRC-0013,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0031,SRC-0014,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0032,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0033,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0034,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0035,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0036,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0037,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0038,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0039,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0040,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0041,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0042,SRC-0015;SRC-0016;SRC-0017,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0043,SRC-0018,RECORD_LEVEL_CROSSWALK,Specialist scholarship,Line/page verification remains governed by the source register and evidence record.
EV-0044,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0045,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0046,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0047,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0048,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0049,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0050,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0051,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0052,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0053,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0054,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0055,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0056,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0057,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0058,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0059,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0060,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0061,SRC-0020,REGISTERED_SOURCE,Premathilake and collaborators,Line/page verification remains governed by the source register and evidence record.
EV-0062,SRC-0021,REGISTERED_SOURCE,Kingwell-Banham,Line/page verification remains governed by the source register and evidence record.
EV-0063,SRC-0022,REGISTERED_SOURCE,Odelli and collaborators,Line/page verification remains governed by the source register and evidence record.
EV-0064,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0065,SRC-0023,INTERPRETIVE_SOURCE,Project adaptation informed by modern famine analysis,Line/page verification remains governed by the source register and evidence record.
EV-0066,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0067,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0068,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0069,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0070,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0071,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0072,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0073,SRC-0025,REGISTERED_SOURCE,Helwing and collaborators,Line/page verification remains governed by the source register and evidence record.
EV-0074,SRC-0026,REGISTERED_SOURCE,Gunawardhana,Line/page verification remains governed by the source register and evidence record.
EV-0075,SRC-0027,REGISTERED_SOURCE,Murphy and collaborators,Line/page verification remains governed by the source register and evidence record.
EV-0076,SRC-0024,REGISTERED_SOURCE,Kingwell-Banham and collaborators,Line/page verification remains governed by the source register and evidence record.
EV-0077,SRC-0024,REGISTERED_SOURCE,Kingwell-Banham and collaborators,Line/page verification remains governed by the source register and evidence record.
EV-0078,SRC-0028,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0079,SRC-0028,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0080,SRC-0029,REGISTERED_SOURCE,Vikas K Verma,Line/page verification remains governed by the source register and evidence record.
EV-0081,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0082,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0083,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0084,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0085,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0086,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0087,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0088,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0089,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0090,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0091,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0092,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0093,SRC-0005,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0094,SRC-0011,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0095,SRC-0041,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0096,SRC-0039,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0097,SRC-0040,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0098,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0099,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0100,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0101,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0102,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0103,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0104,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0105,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0106,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0107,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0108,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0109,SRC-0013,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0110,SRC-0028,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0111,SRC-0007,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0112,SRC-0035,REGISTERED_SOURCE,Peter Francis Jr and later scholarship,Line/page verification remains governed by the source register and evidence record.
EV-0113,SRC-0034,REGISTERED_SOURCE,Gwendolyn O Kelly,Line/page verification remains governed by the source register and evidence record.
EV-0114,SRC-0033,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0115,SRC-0032,RECORD_LEVEL_CROSSWALK,Tamil Nadu Department of Archaeology,Line/page verification remains governed by the source register and evidence record.
EV-0116,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0117,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0118,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0119,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0120,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0121,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0122,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0123,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0124,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0125,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0126,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0127,SRC-0003,REGISTERED_SOURCE,Silappathikaram,Line/page verification remains governed by the source register and evidence record.
EV-0128,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0129,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0130,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0131,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0132,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0133,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0134,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0135,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0136,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0137,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0138,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0139,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0140,SRC-0043,RECORD_LEVEL_CROSSWALK,Paula Richman,Line/page verification remains governed by the source register and evidence record.
EV-0141,SRC-0042,RECORD_LEVEL_CROSSWALK,Paula Richman,Line/page verification remains governed by the source register and evidence record.
EV-0142,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0143,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0144,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0145,,INTERNAL_PROJECT_RECORD,Project adaptation,Line/page verification remains governed by the source register and evidence record.
EV-0146,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0147,SRC-0001;SRC-0002;SRC-0003,MULTI_SOURCE,Manimekalai and Silappathikaram,Line/page verification remains governed by the source register and evidence record.
EV-0148,,INTERNAL_PROJECT_RECORD,Project methodology,Line/page verification remains governed by the source register and evidence record.
EV-0149,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0150,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0151,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0152,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0153,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0154,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0155,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0156,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
EV-0157,SRC-0001;SRC-0002,PRIMARY_WITH_TRANSLATION_AID,Manimekalai,Line/page verification remains governed by the source register and evidence record.
